,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,Iranshahr,27.2,60.68,303.98,48,77,1.88,IR,1598060724
159,Caravelas,-17.71,-39.25,295.64,86,83,5.05,BR,1598060725
160,Svetlaya,46.54,138.33,296.13,49,0,2.95,RU,1598060725
161,Clyde River,70.47,-68.59,279.99,88,96,1.94,CA,1598060726
162,Chui,-33.7,-53.46,279.7,77,0,2.85,UY,1598060726
163,Baruun-Urt,46.68,113.28,294.2,35,100,0.54,MN,1598060727
164,Jijiga,9.35,42.8,291.2,71,99,8.38,ET,1598060728
165,Oussouye,12.48,-16.55,298.15,100,100,1.0,SN,1598060728
166,Faanui,-16.48,-151.75,298.45,80,11,10.14,PF,1598060729
167,Margate,51.38,1.39,291.48,63,0,2.68,GB,1598060729
168,Najrān,17.49,44.13,298.15,23,87,2.1,SA,1598060670
169,Winsford,53.18,-2.52,288.71,84,36,1.34,GB,1598060730
170,Nikolskoye,59.7,30.79,288.15,67,96,2.0,RU,1598060731
171,Vostok,46.49,135.88,293.69,50,2,2.01,RU,1598060732
172,San Quintín,30.48,-115.95,301.26,58,98,1.73,MX,1598060732
173,Ishigaki,24.34,124.16,301.15,94,75,8.7,JP,1598060733
174,Divo,5.84,-5.36,295.02,91,85,1.94,CI,1598060733
175,Iquitos,-3.75,-73.25,293.9,96,26,2.16,PE,1598060734
176,Zhigalovo,54.81,105.16,294.41,48,86,0.45,RU,1598060734
177,Nampula,-15.12,39.27,292.15,88,75,3.6,MZ,1598060735
178,Bealanana,-14.55,48.73,284.29,92,33,1.54,MG,1598060735
179,Cidreira,-30.18,-50.21,281.36,66,0,2.7,BR,1598060736
180,Codrington,-38.27,141.97,284.2,71,79,11.45,AU,1598060736
181,Laas,46.62,10.7,289.15,100,5,0.5,IT,1598060738
182,Magaria,13.0,8.91,295.36,86,40,2.55,NE,1598060740
183,Tigil',57.8,158.67,285.19,81,99,5.15,RU,1598060740
184,Grindavik,63.84,-22.43,282.15,81,0,5.7,IS,1598060741
185,Jaisalmer,26.91,70.92,305.22,58,95,1.68,IN,1598060456
186,San Luis,-33.3,-66.34,279.82,49,0,2.39,AR,1598060742
187,Derzhavīnsk,51.1,66.32,288.3,74,95,3.83,KZ,1598060743
188,Ribeira Grande,38.52,-28.7,293.82,65,0,0.75,PT,1598060743
189,Mahébourg,-20.41,57.7,293.15,82,75,3.71,MU,1598060744
190,Mayo,38.89,-76.51,298.71,88,1,2.6,US,1598060457
191,Hilo,19.73,-155.09,302.15,62,1,4.6,US,1598060745
192,Lima,-12.04,-77.03,289.15,82,90,1.0,PE,1598060529
193,Yarkovo,57.4,67.08,284.62,95,35,2.53,RU,1598060747
194,Butaritari,3.07,172.79,301.06,65,100,1.16,KI,1598060748
195,Isangel,-19.55,169.27,301.15,78,40,4.1,VU,1598060749
196,Sitka,57.05,-135.33,287.15,87,90,1.27,US,1598060749
197,Belaya Gora,68.53,146.42,277.79,82,100,2.81,RU,1598060750
198,Arraial do Cabo,-22.97,-42.03,292.15,88,90,6.2,BR,1598060750
199,Ayr,55.46,-4.63,288.15,82,40,6.2,GB,1598060751
200,Jalu,29.03,21.55,297.9,47,0,3.49,LY,1598060751
201,Balkhash,46.84,74.98,289.15,29,78,4.0,KZ,1598060752
202,Airai,-8.93,125.41,297.9,32,0,2.82,TL,1598060753
203,Harper,4.38,-7.72,297.16,88,100,4.49,LR,1598060753
204,Vilhena,-12.74,-60.15,284.57,75,0,2.68,BR,1598060754
205,Bilibino,68.05,166.44,278.94,83,100,3.59,RU,1598060754
206,Noumea,-22.28,166.46,299.15,61,4,3.6,NC,1598060755
207,Okhotsk,59.38,143.3,288.97,48,64,1.63,RU,1598060755
208,Narón,43.52,-8.15,290.93,93,1,3.1,ES,1598060756
209,Hay River,60.82,-115.8,289.15,72,75,4.1,CA,1598060757
210,Tasiilaq,65.61,-37.64,281.15,68,0,3.6,GL,1598060758
211,West Fargo,46.88,-96.9,300.37,78,1,2.1,US,1598060758
212,Bilma,18.69,12.92,305.05,42,33,3.75,NE,1598060759
213,Pisco,-13.7,-76.22,289.15,82,75,4.1,PE,1598060760
214,Sidrolândia,-20.93,-54.96,282.15,70,75,2.6,BR,1598060760
215,Linxia Chengguanzhen,35.6,103.21,293.91,61,100,1.24,CN,1598060761
216,East London,-33.02,27.91,287.03,63,6,3.5,ZA,1598060761
217,Phan Thiet,10.93,108.1,302.36,74,23,3.41,VN,1598060762
218,Windsor,42.3,-83.02,299.82,60,1,1.5,CA,1598060753
219,Esim,4.87,-2.24,296.86,89,33,3.55,GH,1598060763
220,Ashti,19.38,76.23,297.43,86,100,4.91,IN,1598060764
221,Nuevitas,21.55,-77.26,300.15,88,33,3.1,CU,1598060765
222,Grand Gaube,-20.01,57.66,293.15,79,0,1.34,MU,1598060765
223,Hong Kong,22.29,114.16,305.37,70,1,1.0,HK,1598060764
224,Seoul,37.57,126.98,300.15,78,75,1.87,KR,1598060032
225,Astoria,46.19,-123.83,290.15,93,90,3.6,US,1598060767
226,Tevaitoa,-16.78,-151.5,298.71,78,5,10.27,PF,1598060768
227,Miyako,39.64,141.95,294.45,88,98,3.06,JP,1598060769
228,Vanavara,60.34,102.28,291.73,58,100,1.72,RU,1598060769
229,Belyy Yar,53.6,91.39,289.15,82,100,1.0,RU,1598060770
230,Colac,-38.33,143.58,280.37,99,63,2.68,AU,1598060770
231,Lebu,-37.62,-73.65,282.18,89,1,4.42,CL,1598060771
232,Tiarei,-17.53,-149.33,299.15,78,75,2.1,PF,1598060772
233,Shimoda,34.67,138.95,303.15,79,40,3.1,JP,1598060772
234,San Patricio,19.22,-104.7,303.15,79,75,5.1,MX,1598060773
235,Nísia Floresta,-6.09,-35.21,298.15,83,75,4.6,BR,1598060773
236,Torbay,47.67,-52.73,290.37,77,75,7.7,CA,1598060775
237,Araouane,18.9,-3.53,309.82,14,92,2.79,ML,1598060775
238,Shitkino,56.37,98.35,289.84,74,100,0.83,RU,1598060776
239,Dakar,14.69,-17.44,300.15,83,40,3.1,SN,1598060588
240,Meulaboh,4.14,96.13,300.16,82,100,1.05,ID,1598060777
241,Pangkalanbuun,-2.68,111.62,302.93,70,72,2.12,ID,1598060779
242,Yangi Marg`ilon,40.43,71.72,293.15,52,0,2.1,UZ,1598060779
243,Ossora,59.24,163.07,284.92,85,100,0.53,RU,1598060782
244,Alyangula,-13.85,136.42,304.15,33,0,3.6,AU,1598060784
245,Shar,49.59,81.05,292.61,35,18,2.01,KZ,1598060786
